elapsed_s,connected,reconnects,last_frame_age_s,capture_fps,detection_fps,degraded,workers,det_frames,det_exceptions,det_avg_latency,rec_identified,rec_exceptions
1963.2,True,0,0.055,14.79,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",16259,0,0.0496,0,0
1985.2,True,0,0.091,14.88,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",16445,0,0.0441,0,0
2007.2,True,0,0.02,14.97,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",16629,0,0.0424,0,0
2029.3,True,0,0.044,15.44,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",16813,0,0.0464,0,0
2051.3,True,0,0.015,14.68,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",16993,0,0.0406,0,0
2073.3,True,0,0.015,15.13,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",17174,0,0.0455,0,0
2095.3,True,0,0.029,14.81,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",17358,0,0.0529,0,0
2117.4,True,0,0.046,15.12,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",17541,0,0.0556,0,0
2139.4,True,0,0.05,14.89,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",17725,0,0.0467,0,0
2161.5,True,0,0.025,15.14,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",17906,0,0.058,0,0
2183.5,True,0,0.05,15.2,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",18088,0,0.0421,0,0
2205.5,True,0,0.008,15.45,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",18268,0,0.0458,0,0
2227.6,True,0,0.013,15.04,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",18448,0,0.0412,0,0
2249.6,True,0,0.053,15.19,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",18625,0,0.0466,0,0
2271.6,True,0,0.052,15.1,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",18808,0,0.0469,0,0
2293.7,True,0,0.023,14.85,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",18989,0,0.0467,0,0
2315.7,True,0,0.046,15.17,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",19171,0,0.0436,0,0
2337.7,True,0,0.047,14.64,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",19354,0,0.0455,0,0
2359.8,True,0,0.012,14.82,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",19535,0,0.0412,0,0
2381.8,True,0,0.011,14.92,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",19711,0,0.0478,0,0
2403.8,True,0,0.043,15.15,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",19894,0,0.0459,0,0
2425.9,True,0,0.039,14.88,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",20084,0,0.046,0,0
2447.9,True,0,0.076,15.37,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",20267,0,0.0468,0,0
2470.0,True,0,0.044,14.49,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",20449,0,0.0473,0,0
2492.0,True,0,0.038,14.79,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",20633,0,0.0453,0,0
2514.1,True,0,0.013,14.79,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",20820,0,0.049,0,0
2536.1,True,0,0.047,15.09,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",21009,0,0.0458,0,0
2558.1,True,0,0.041,14.75,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",21188,0,0.0399,0,0
2580.1,True,0,0.03,14.93,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",21370,0,0.0461,0,0
2602.2,True,0,0.119,15.09,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",21550,0,0.0476,0,0
2624.2,True,0,0.053,15.08,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",21735,0,0.0476,0,0
2646.2,True,0,0.03,15.33,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",21916,0,0.0459,0,0
2668.3,True,0,0.009,14.94,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",22095,0,0.0433,0,0
2690.3,True,0,0.019,15.09,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",22278,0,0.0472,0,0
2712.4,True,0,0.045,14.8,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",22462,0,0.0438,0,0
2734.4,True,0,0.101,15.33,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",22642,0,0.0472,0,0
2756.5,True,0,0.028,14.79,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",22821,0,0.0464,0,0
2778.5,True,0,0.028,14.78,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",23002,0,0.0459,0,0
2800.5,True,0,0.014,15.48,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",23187,0,0.0452,0,0
2822.6,True,0,0.031,14.67,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",23371,0,0.0429,0,0
